Date ID,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),ADX,MACD,MACD_Sig,MACD_Hist,MOM,ATR,RSI,SlowD,SlowK,WILLR,Upper_Band,Middle_Band,Lower_Band,SMA,EMA,Actual Close Value,Label
495,-0.7110980987365313,-0.7132525793359872,-0.6857310197188056,-0.6978834759112963,-1.1796157810062728,-1.0255000952407909,-0.5915469095507255,-0.41036857019344336,-0.5893966363679926,0.4304817296332494,0.5134021389451447,-0.9320560633463271,-0.6120078598042193,-0.3351769639583894,-0.2458850065175583,-0.07723845930894122,-0.6954451896184107,-0.6700780428506337,-0.6436921528493942,-0.6622057352616725,-0.6591683108030428,5745.95,0
7570,-0.6843391738761561,-0.7048570831183046,-0.7422150293630477,-0.7538746134674683,0.23992288146908505,0.33318552531603524,-0.5148777842728672,-0.5324407588723603,-0.5837805044519965,0.04446123605717367,-0.320094250990264,-0.6795453485277384,-1.1671649762611147,-1.0032293133134844,-0.5939474544862502,-0.9863211276947923,-0.6873306994741372,-0.6912151344719915,-0.6942245233617453,-0.6666843702970644,-0.6645358438623379,5694.4,0
14645,-0.7587947086630947,-0.7789755310699322,-0.7685595979922334,-0.786196485147431,0.3346137808049896,-0.10561220631747648,-0.4009332925351272,-0.6838449526041998,-0.6115982095650463,-0.33549166993517976,-0.7291050473081846,-0.7209820019461249,-1.4367336458100106,-1.4899805317123929,-1.0197406060737282,-1.5111051316734119,-0.6751555515534013,-0.7109254881218816,-0.7459813398414736,-0.6723062833445722,-0.6716805889317105,5658.75,0
21720,-0.7804835214446624,-0.7711752379423097,-0.7901056916211032,-0.8085490501404603,0.18406177337912324,-0.12457271975714922,-0.26235772357631015,-0.8383770172885081,-0.6668304917065416,-0.6470397641446453,-1.1116896513145231,-0.5911404871460869,-1.60982862426658,-1.7729056354073465,-1.5378423108271484,-1.7200300120041387,-0.7045028006918885,-0.7423765753872034,-0.779507725019237,-0.6782519659312586,-0.6798329168322916,5651.35,0
28795,-0.8093393445104703,-0.8127141483327823,-0.8002358055106589,-0.8131888532526176,-0.06339152154263936,-0.5607788636240322,-0.11856108501993418,-0.9613907287430109,-0.7372682199393386,-0.8198393570923815,-1.5392702043919242,-0.6534805845504226,-1.6457734594967013,-1.7891094895981168,-1.821043075443354,-1.6442784380573405,-0.7490868987612451,-0.7701885380468858,-0.7904132955475118,-0.6836053094921689,-0.6877641170571677,5633.85,0
10303,-0.7796072057767199,-0.7958291764621455,-0.8048774676024681,-0.8241613606124497,-0.3290271669841943,-0.6468881783287491,-0.04388750868686173,-1.0698237502994825,-0.8167586937837505,-0.9227176776200113,-1.6066450910962171,-0.5860864031333235,-1.7332374957496808,-1.7968568702695915,-1.9316294171588166,-1.739324238609377,-0.8095122242163385,-0.7955052805538233,-0.7803831528959918,-0.6892102379081133,-0.6959045062494461,5641.6,0
17378,-0.8381638705881377,-0.8353631922334697,-0.8126240252827165,-0.8193021073530955,-0.7547775084652775,-0.9305336482277728,0.03893848223935098,-1.1368098448396682,-0.8946463282681708,-0.9045024942374194,-1.435231951777881,-0.7086016317620473,-1.6507666599262756,-1.5965054992709662,-1.868061643165072,-1.5670082213186947,-0.8461174991563125,-0.8086224706263105,-0.769857792502115,-0.6951739666658354,-0.7032004624930909,5682.55,1
31528,-0.8168819186524007,-0.8117743539800567,-0.8171402370477195,-0.7936264401310884,0.7273175164658711,0.3778980366073397,0.03313440830161985,-1.1327084754558383,-0.9560811777402652,-0.7175277395399603,-0.9407526596054023,-0.6587887289563987,-1.2249564445946515,-1.0866094036970058,-1.6149078323504205,-1.1605068679057262,-0.8528986942139039,-0.8101120604907956,-0.7660228813155762,-0.7004901563452012,-0.7083388543097974,5704.4,1
9371,-0.785835306416737,-0.7942315260625118,-0.7725740084500143,-0.7799264809418127,-1.2666554957434115,-1.4091427413468764,-0.030118037433874575,-1.09473450981905,-0.9971251733492961,-0.4857995004447688,-1.1116896513145231,-0.7695459693484918,-1.009319427445953,-0.10258019943321289,-1.0043561692194252,-0.973742726467442,-0.834843038541209,-0.8043736826584138,-0.7726813027912102,-0.7045781448546337,-0.7122456676740023,5748.1,1
16446,-0.7831124684484886,-0.7731488060830333,-0.7655174275671968,-0.75252656256326,-1.1125951017435298,-1.188564321980457,-0.15472836281398433,-1.0057436822707964,-1.010969165503991,-0.176689889528777,-0.7305334901358339,-0.7906946365153534,-0.6029052245814014,0.8042569998392434,-0.13921438816032744,-0.532493851873357,-0.803436308721686,-0.7922118413597735,-0.7798927478744231,-0.7075355938256225,-0.7141002899570243,5672.9,1
23521,-0.7590137875800805,-0.7791948164189018,-0.7887571006079422,-0.7996769941895105,-0.5014690784878543,-0.7877066730186923,-0.2150567330066592,-1.0133547890089873,-1.0236686174490033,-0.16368296548604463,-0.910755360224697,-0.6989106403563576,-1.1185399975483974,0.7395914459994575,0.5188776372955841,-1.1993832708109102,-0.8067904779467568,-0.7873031085152051,-0.7666791424355657,-0.7123188906896842,-0.718932980543686,5574.75,0
30596,-0.821326090968393,-0.8421610380515185,-0.8417285011016267,-0.8612170854676544,-0.6106563222471729,-0.9071903025357135,-0.16471128055741718,-1.1227298039197764,-1.0571694975911115,-0.40007710371826327,-0.9528944236404521,-0.5799460184158601,-1.6435738703925071,-0.2340263022982046,0.4715095550350341,-1.7496633832425963,-0.7879978814713949,-0.7957064066114751,-0.8024265435114804,-0.7200670673010435,-0.7274969877115047,5553.25,0
37671,-0.8667380207606785,-0.884232498575202,-0.8611419391748002,-0.8746975945097339,-0.5594253876042508,-0.8000472041780211,-0.08451299350270412,-1.2231990278490994,-1.1054109682797335,-0.5675939283449382,-0.8098120670705625,-0.7052705277453662,-1.743684044975956,-1.2833740477752384,-0.28079178397573973,-1.6833029785245106,-0.7817794202863259,-0.811959906145472,-0.8412623763735918,-0.7283428290303428,-0.7363941300047976,5542.95,0
19179,-0.8777545605862368,-0.8893073880799206,-0.8596678978348337,-0.8811556988415209,-1.2801693721585727,-1.4130186895213785,-0.010043155523328063,-1.302776676028328,-1.1609865172673237,-0.6509407592829317,-0.6891086481339036,-0.8597565552246602,-1.7925208103793318,-1.7849349840806843,-1.1905332902096042,-1.7461053524066745,-0.7963179497161721,-0.8322547824004128,-0.8673209200991342,-0.7349095122085687,-0.7451415520799503,5495.1,0
26254,-0.8663311599148485,-0.8680993621867455,-0.8910618421179466,-0.9111576689654044,-0.5465354964487167,-0.7221699917908305,0.11247639067652225,-1.407890287643629,-1.2278788646811276,-0.779548506124376,-0.8817103560624218,-0.6972075550987413,-2.0119773478654515,-1.805097485729921,-1.7566864695884459,-1.7573012912324426,-0.8541563034680075,-0.8640578402666256,-0.8728950429301152,-0.7424506886227478,-0.7552957143277975,5558.7,0
33329,-0.8866742022063618,-0.8892760616014963,-0.8972089081314234,-0.871280442217672,-0.7180944967022934,-0.7598356710519935,0.23619828927888895,-1.4047483314333407,-1.2807222293240335,-0.6198913352946595,-0.4955546449869512,-0.6338020640196579,-1.38764151854052,-1.3203420398719825,-1.7700083015216794,-0.9149785320761036,-0.9081715997194466,-0.8784132126315327,-0.847339796352233,-0.7487360638407032,-0.7621748879758109,5594.0,1
687,-0.845737741718209,-0.8633377374662693,-0.8560298383574698,-0.8491473273718391,-0.39248114429291286,-0.34735398872520346,0.2535709967096408,-1.3490914855384393,-1.3111193988035967,-0.36480553484123496,-0.36437597864750165,-0.663370203459164,-1.075102951124787,-0.3125244816372154,-1.2394086087131715,-0.5209726706700177,-0.8996129291167885,-0.8759934147504082,-0.8510979325901964,-0.7522890364558864,-0.767156127429197,5528.55,1
7762,-0.8964075655181476,-0.9047826684214691,-0.8861065542091238,-0.8901845048976111,-0.7401140241782553,0.025335387908396022,0.3248406207408243,-1.3677901580574343,-1.3394275491337868,-0.3410652475452093,-0.8709970348550258,-0.5766688866280404,-1.4327621727307,0.11261843491597698,-0.5483380976701647,-1.2449935776344565,-0.901666113138468,-0.8790982982654097,-0.8552566363523594,-0.7579863188059569,-0.7745120851940657,5568.4,0
28987,-0.9040440306245002,-0.8744899637852797,-0.882719395385371,-0.8651985381382223,-0.46217233646066486,-0.09408726307293981,0.28654604938575895,-1.3244786221042388,-1.3528311142316116,-0.17168473442229135,-0.7852904651958579,-0.5200496990609563,-1.0890584506586198,0.34854609129193476,0.05306451950611264,-0.7951514555174716,-0.89670922937431,-0.8758991369108841,-0.8538296370035785,-0.7606327367114395,-0.7797519198795356,5688.95,1
36062,-0.8702745804205881,-0.807827217698609,-0.8478755671151028,-0.789613637439493,-0.4664314800846512,-0.5479428818622597,0.0671039482657133,-1.1410708405599204,-1.3244135880096979,0.30358363411410166,-0.41937102751213523,-0.2820144789568833,-0.22920238785259833,0.4428411922008691,0.3252690398022233,0.5656632953282849,-0.8465444133699472,-0.8515314579884913,-0.8554416835231491,-0.7612855834871606,-0.7796878721339626,5688.7,1
3420,-0.778762187096919,-0.7872143948954938,-0.776902044724809,-0.7897703875446334,-0.2544116045546684,-0.029228968054577777,-0.106054767259697,-0.9877156261326739,-1.2689525962545598,0.6109142976130593,-0.06249839440354096,-0.35366979586623887,-0.23084750337941817,0.9626458827206896,0.6315859955258507,0.5628411992045899,-0.8177412115694724,-0.8351899658042714,-0.8516560391799003,-0.7614936452238126,-0.7796382547767855,5783.1,0
10495,-0.7950053239419888,-0.7482442557358042,-0.7688418612275459,-0.7305815478435957,-0.3380338277171946,-0.3018792457378317,-0.18543269135302845,-0.7517427408184343,-1.1742256996008822,1.0571447036432824,0.8543238271449477,-0.24021741976943656,0.3222451454741068,1.298332501828752,0.9738522160045919,1.1956682475411957,-0.760215239387022,-0.8114193798655327,-0.8618692159540513,-0.7615180606316848,-0.775703209605484,5834.4,1
38795,-0.7279358783562759,-0.7166045125273749,-0.7011300473341987,-0.6984164262687741,-0.6015878350920297,-0.4983254096067625,-0.2006448583939068,-0.5028685083893271,-1.0453328501173318,1.445417609694423,1.2009592866553567,-0.31996432476700626,0.5800529185541452,1.3176493529399866,1.2890991804783276,1.217739596719721,-0.7224492383524491,-0.772972876907505,-0.8227881650980119,-0.761182614158307,-0.7699088321264651,5836.9,1
